,host_response_rate,host_acceptance_rate,price,availability_365,number_of_reviews,review_scores_cleanliness,review_scores_communication,review_scores_location,reviews_per_month,room_type
0,100.0,91.5,1434.0,324,21.0,4.95,4.95,5.0,0.19,Entire home/apt
1,94.5,91.5,830.0,346,61.0,4.88,5.0,4.95,0.54,Entire home/apt
2,100.0,90.0,1469.0,87,39.0,4.71,4.92,4.58,0.31,Entire home/apt
3,94.5,91.5,1062.7,363,0.0,4.7,4.8,4.8,1.7,Entire home/apt
4,100.0,86.0,1062.7,357,64.0,4.7,4.78,4.98,0.46,Entire home/apt
5,100.0,97.3,2561.0,240,78.0,4.71,4.85,5.0,0.7,Entire home/apt
6,100.0,95.0,650.0,144,84.0,4.88,4.94,4.75,0.58,Entire home/apt
7,100.0,100.0,1089.0,168,62.0,4.9,4.95,4.94,0.94,Private room
8,100.0,100.0,943.0,156,18.0,4.75,4.75,4.88,0.15,Entire home/apt
9,92.0,97.3,2561.0,270,20.2,4.69,4.88,4.9,0.95,Entire home/apt
10,100.0,98.0,1881.0,153,20.2,4.96,4.99,4.95,2.63,Entire home/apt
11,98.6,97.3,2088.0,362,47.0,4.73,4.91,4.98,0.34,Entire home/apt
12,100.0,100.0,402.0,358,20.2,4.69,4.79,4.62,1.4,Entire home/apt
13,100.0,100.0,1097.0,145,20.2,4.95,4.98,4.96,0.84,Entire home/apt
14,90.0,87.0,1006.0,340,23.0,4.83,5.0,4.83,0.18,Hotel room
15,90.0,87.0,998.0,350,7.0,4.8,4.9,4.9,0.06,Entire home/apt
16,94.5,97.3,726.0,363,5.0,4.8,4.6,4.8,0.04,Private room
17,98.6,91.5,375.0,284,5.0,4.6,4.8,4.9,0.04,Private room
18,94.5,97.3,2835.0,365,0.0,4.7,4.8,4.8,1.7,Private room
19,100.0,99.0,1062.7,317,10.0,5.0,4.78,4.89,0.12,Entire home/apt
20,100.0,99.0,1200.0,303,80.0,4.84,4.96,4.89,0.77,Entire home/apt
21,100.0,91.5,1244.0,88,0.0,4.7,4.8,4.8,1.7,Private room
22,100.0,97.3,817.0,280,12.0,4.91,5.0,5.0,0.1,Entire home/apt
23,94.5,91.5,950.0,341,37.0,4.67,4.81,4.86,0.33,Entire home/apt
24,100.0,100.0,549.0,336,4.0,5.0,5.0,5.0,0.04,Private room
25,100.0,97.3,672.0,304,9.0,4.78,5.0,5.0,0.08,Entire home/apt
26,91.0,95.0,2049.0,88,20.2,4.92,4.96,4.87,1.93,Entire home/apt
27,100.0,100.0,1062.7,194,20.2,4.86,4.92,4.71,2.09,Entire home/apt
28,98.6,97.3,1543.0,295,20.2,4.97,4.96,4.96,1.41,Private room
29,100.0,97.3,302.0,354,90.0,4.59,4.94,4.98,0.82,Private room
30,94.5,100.0,500.0,328,27.0,4.93,4.93,4.7,0.25,Private room
31,100.0,100.0,1050.0,153,38.0,4.63,5.0,4.97,0.35,Entire home/apt
32,95.0,98.0,672.0,214,66.0,4.8,4.94,4.66,0.53,Entire home/apt
33,94.5,91.5,1434.0,324,20.2,4.68,4.68,4.93,3.3,Entire home/apt
34,100.0,100.0,1310.0,356,54.0,4.47,4.68,4.9,0.46,Entire home/apt
35,100.0,100.0,1037.0,155,44.0,4.68,4.86,4.89,0.33,Entire home/apt
36,100.0,100.0,794.0,197,20.0,4.4,4.9,4.85,0.18,Entire home/apt
37,100.0,100.0,1062.7,0,101.0,4.65,4.88,4.92,0.73,Entire home/apt
38,100.0,100.0,1062.7,0,24.0,4.58,4.79,5.0,0.21,Entire home/apt
39,100.0,100.0,1900.0,26,67.0,4.81,5.0,4.96,0.49,Entire home/apt
40,100.0,97.3,870.0,305,20.2,4.65,4.81,4.85,1.24,Entire home/apt
41,98.6,91.5,850.0,348,18.0,4.72,4.89,4.94,0.16,Entire home/apt
42,100.0,100.0,817.0,365,26.0,4.84,4.96,4.96,0.33,Entire home/apt
43,92.0,97.3,402.0,307,20.2,4.67,4.92,4.9,1.02,Private room
44,100.0,100.0,2800.0,363,40.0,4.9,5.0,4.88,0.42,Entire home/apt
45,94.5,97.3,480.0,269,9.0,5.0,5.0,4.89,0.07,Private room
46,94.5,97.3,1200.0,363,27.0,4.8,4.85,4.96,0.21,Entire home/apt
47,100.0,97.0,788.0,155,42.0,4.86,4.98,4.95,0.43,Entire home/apt
48,100.0,94.0,1062.7,362,4.0,4.8,4.75,4.5,0.05,Entire home/apt
49,100.0,98.0,1017.0,361,20.2,4.85,4.95,4.88,2.4,Entire home/apt
50,100.0,98.0,900.0,365,20.2,4.88,4.93,4.89,1.79,Entire home/apt
51,100.0,81.0,545.0,313,99.0,4.96,4.95,4.99,0.72,Entire home/apt
52,100.0,97.3,2269.0,211,20.2,4.84,4.93,4.97,1.09,Entire home/apt
53,90.0,87.0,1006.0,332,31.0,4.94,5.0,4.97,0.25,Hotel room
54,100.0,100.0,1880.0,326,20.2,4.91,4.97,4.9,2.4,Entire home/apt
55,90.0,87.0,908.0,350,49.0,4.92,5.0,5.0,0.46,Hotel room
56,90.0,87.0,908.0,272,23.0,4.91,4.91,4.96,0.19,Entire home/apt
57,100.0,100.0,591.0,365,20.0,4.32,4.9,4.68,0.15,Private room
58,100.0,100.0,3014.0,194,20.2,4.89,4.94,4.78,2.32,Entire home/apt
59,100.0,89.0,726.0,247,20.0,4.9,4.95,5.0,0.18,Private room
60,100.0,100.0,1154.0,127,20.2,4.76,4.82,4.94,2.59,Entire home/apt
61,94.5,91.5,1815.0,0,0.0,4.7,4.8,4.8,1.7,Entire home/apt
62,90.0,87.0,908.0,356,22.0,4.95,5.0,4.95,0.25,Hotel room
63,92.0,97.3,2561.0,266,20.2,4.8,4.94,4.9,1.91,Entire home/apt
64,100.0,97.3,1000.0,313,20.2,4.56,4.82,4.9,2.64,Entire home/apt
65,100.0,91.0,1532.0,330,54.0,4.94,4.96,4.92,0.44,Entire home/apt
